Guid,GroupId,UserOrGroupId
88010d11-ad17-4147-b999-5ebd1559b972,3950bf04-2b12-4c58-bdea-c80bec6118da,cee607c6-141a-452b-90ab-d4f84fd71b3a
af304ce3-50ed-4eca-a438-b3ca535c6550,3950bf04-2b12-4c58-bdea-c80bec6118da,d0061d8a-4d96-4df1-9c71-f2d4b9ef66dc
f43ec55b-6d22-475d-a94b-5f53f62f3d3c,68058e0e-d103-413a-86e0-a5db0b438b02,84967c3a-f8bf-40e4-b16f-3deca852d4a0
8b23a370-de9e-482b-a924-951bfaefba83,a495ed1a-ddf3-4651-b1ab-7c580b071f52,56d65524-dca9-4d7e-b5c4-7bd297b3787f
c5c6172a-13fb-4a36-9a97-ed61442b45b5,84967c3a-f8bf-40e4-b16f-3deca852d4a0,5cba2ae6-88f3-440a-81ea-9b39371f0b6d
2eb6beeb-dc38-49ae-8c8c-a1e0027606af,a495ed1a-ddf3-4651-b1ab-7c580b071f52,742e8c0b-e8e3-42c7-be29-b0282f7e723d
25b20c82-1fe9-41a7-9428-eb8725398d41,46daa871-d2b4-431e-9138-ab0951ff3c10,5cba2ae6-88f3-440a-81ea-9b39371f0b6d
e43bfce1-697d-46ff-a126-033036824c9e,46daa871-d2b4-431e-9138-ab0951ff3c10,8ef30e74-fea5-4f47-b7fb-eaad8616547f
8a4ff4f6-bf9b-4e54-897d-c62eb684cc98,68058e0e-d103-413a-86e0-a5db0b438b02,e438f023-9803-4585-8e95-2ba15ef74722
c608745d-6f03-4e7e-a5d2-a6ab2cf0a356,e438f023-9803-4585-8e95-2ba15ef74722,cde074bc-be00-49ff-8c47-8c631cc88301
0edcc15d-611a-4a2e-8518-27633831b30b,84967c3a-f8bf-40e4-b16f-3deca852d4a0,8ef30e74-fea5-4f47-b7fb-eaad8616547f
091e8145-400b-446e-b59a-28a8e7b4e8f5,84967c3a-f8bf-40e4-b16f-3deca852d4a0,f327efcc-0b6a-4208-9a46-f4ced1edda06
6b9bd161-bd88-4882-95a8-b19dcb6d49f0,3950bf04-2b12-4c58-bdea-c80bec6118da,453622c2-2925-4360-9933-f44063e0ac3e
08ddba91-3021-49a5-9814-eba7d54b00f5,3950bf04-2b12-4c58-bdea-c80bec6118da,cadba688-eba1-42ca-8b5e-cf9296993d9e
c3fb5ee6-24e7-48cf-ab6e-22cef8ed90f9,cadba688-eba1-42ca-8b5e-cf9296993d9e,742e8c0b-e8e3-42c7-be29-b0282f7e723d
